tract1,tract2
39051040600,39051040700
39051040600,39051040800
39051040100,39051040200
39051040800,39051040900
39051040100,39051040500
39051040600,39051040500
39051040700,39051040500
39051040100,39051040300
39051040200,39051040300
39051040500,39051040300
39051040100,39051040400
39051040500,39051040400
39051040300,39051040400
39123050800,39123050900
39123051100,39123050900
39123051100,39123051000
39123050900,39123051000
39123050600,39123050500
39123050800,39123050700
39123050100,39123050202
39123050202,39123050302
39123050202,39123050301
39123050302,39123050301
39123050202,39123050201
39123050301,39123050201
39123050800,39123051200
39123050600,39123051200
39123050500,39123051200
39123050100,39123051200
39123050202,39123051200
39123050301,39123051200
39123050201,39123051200
39173020300,39173020200
39123051000,39173021000
39173020602,39173020601
39173020300,39095004501
39173020200,39095004501
39095004400,39095004501
39173020300,39095004504
39173020200,39095004504
39095004501,39095004504
39095004600,39095004701
39095004600,39095004702
39095004701,39095004702
39095004701,39095004800
39095004702,39095004800
39095004701,39095004900
39095004702,39095004900
39095004800,39095004900
39095004702,39095005000
39095004900,39095005000
39095004800,39095005100
39095004900,39095005100
39173020200,39095005200
39095005100,39095005200
39173021901,39173021902
39173021901,39173022500
39173021902,39173022500
39095004800,39095005300
39095004900,39095005300
39095005100,39095005300
39095005200,39095005300
39095004400,39095005400
39095004501,39095005400
39095005200,39095005400
39095005503,39095005600
39095005600,39095005702
39095005701,39095005702
39095005702,39095005703
39095005701,39095005801
39095005702,39095005801
39095005801,39095005802
39095005801,39095005901
39095005802,39095005901
39095005801,39095005902
39095005802,39095005902
39095005901,39095005902
39095005902,39095006000
39095005902,39095006100
39095006000,39095006100
39095005802,39095006200
39095005902,39095006200
39095006100,39095006200
39095006100,39095006300
39095006200,39095006300
39095006000,39095006400
39095006100,39095006400
39095006300,39095006400
39095006300,39095006500
39095006400,39095006500
39095006600,39095006700
39095006600,39095006800
39095006700,39095006800
39095004504,39095006900
39095006800,39095006900
39095006800,39095007203
39095006900,39095007203
39095006600,39095007302
39095006800,39095007302
39095006600,39095007303
39095006800,39095007303
39095007203,39095007303
39095007302,39095007303
39095006600,39095007400
39095007302,39095007400
39095006000,39095007700
39095006400,39095007700
39095006500,39095007700
39095005902,39095007800
39095006000,39095007800
39095006400,39095007800
39095007700,39095007800
39095005901,39095007901
39095005902,39095007901
39095005901,39095007902
39095005902,39095007902
39095006000,39095007902
39095007800,39095007902
39095007901,39095007902
39173020602,39095008902
39095008901,39095008902
39095009102,39095009101
39095004800,39095010300
39095005100,39095010300
39095005200,39095010300
39095005400,39095010300
39095004400,39095010200
39095004501,39095010200
39095004504,39095010200
39095006800,39095010200
39095006900,39095010200
39095004600,39095009900
39051040100,39095009400
39051040200,39095009400
39095009102,39095009400
39095009101,39095009400
39095005600,39095005501
39095009900,39095005501
39123050800,39095009700
39123051100,39095009700
39123050900,39095009700
39123051200,39095009700
39095005501,39095009700
39095004504,39095004503
39095006900,39095004503
39095007203,39095004503
39095010200,39095004503
39095004504,39095007001
39095004503,39095007001
39173020300,39095007002
39095004504,39095007002
39095004503,39095007002
39095007001,39095007002
39095007001,39095007101
39173020602,39095007102
39095007001,39095007102
39095007002,39095007102
39095007101,39095007102
39095007203,39095007202
39095007303,39095007202
39095004503,39095007202
39095007001,39095007202
39095007101,39095007202
39095007303,39095007204
39095007101,39095007204
39095007303,39095007205
